opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
9763,DELUXE TRUCK STOP,SR-759,Saint Joseph,MO,39.759460,-94.821143,3.149000,3.149000,3.149000,1
9783,KANGAROO CROSSING #1101,"I-55, EXIT 144",Pickens,MS,32.891320,-89.968775,3.099000,3.099000,3.099000,1
9803,TA KNOXVILLE WEST TRAVEL CENTER,"I-40 & I-75, EXIT 369",Knoxville,TN,35.970680,-83.949270,3.425667,3.425667,3.425667,1
9808,TA ANN ARBOR TRAVEL CENTER,"I-94, EXIT 167",Dexter,MI,42.332256,-83.881027,3.619000,3.499000,3.699000,4
9812,LEES FOOD MART #1398,"I-40, EXIT 398",Knoxville,TN,35.970680,-83.949270,3.299000,3.299000,3.299000,1
9818,CIRCLE K #4707002,"I-95, EXIT 157",Newport,ME,44.836429,-69.254846,3.899000,3.899000,3.899000,1
9821,PILOT TRAVEL CENTERS #52,"I-24, EXIT 64",La Vergne,TN,36.022237,-86.559384,3.472333,3.472333,3.472333,1
9842,Petes #03,US-59 & US-54,Moran,KS,37.916542,-95.171429,3.265667,3.265667,3.265667,1
9843,MAPLE HILL TRUCK STOP,"I-70, EXIT 341",Maple Hill,KS,39.085423,-96.028015,3.052333,3.052333,3.052333,1
9851,KWIK STOP #86,US-151/US-52/US-61,Dubuque,IA,42.498901,-90.707258,3.489000,3.489000,3.489000,1
9855,PILOT TRAVEL CENTERS #37,"I-65, EXIT 95",Whiteland,IN,39.555138,-86.074352,3.959000,3.959000,3.959000,2
9860,PARADISE AUTO TRUCK PLAZA,US-31,Rochester,IN,41.060392,-86.198313,3.405667,3.405667,3.405667,1
9862,PILOT TRAVEL CENTERS #271,"I-80, EXIT 6",Gary,IN,41.590740,-87.347113,3.814000,3.799000,3.829000,2
9887,7-ELEVEN #40354,"I-95, EXIT 173",Palm Bay,FL,27.964890,-80.658275,3.215667,3.215667,3.215667,1
9941,FLYING J TRAVEL PLAZA #609,"I-10, EXIT 208-A",Eloy,AZ,32.741255,-111.594015,3.452333,3.452333,3.452333,1
9945,CIRCLE K #2706690,"I-85/US-29, EXIT 62 & US-280/US-431/SR-38/SR-1",Opelika,AL,32.660739,-85.378890,2.999000,2.999000,2.999000,1
9959,FLYING J #876,"I-95, EXIT 104",Ruther Glen,VA,37.928749,-77.455815,3.619000,3.619000,3.619000,1
9962,STRIPES #40673,"I-45, EXIT 179",Mcallen,TX,26.224966,-98.246083,3.289000,3.289000,3.289000,1
9971,TA DANSVILLE TRAVEL CENTER,"I-390 & COMMERCE, EXIT 5",Dansville,NY,42.562482,-77.696927,4.499000,4.499000,4.499000,1
9973,BOLLA MARKET,"I-287, EXIT 66",Mahwah,NJ,41.082067,-74.183061,3.532333,3.532333,3.532333,1
9990,JIMS  BEST STOP,US-45 & US-64,Selmer,TN,35.170593,-88.595102,3.174000,3.174000,3.174000,1
